"","X","Category","ProductName","Reviewer","Verified","DateOfReview","Rating"
"17",17,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","amazon kunde","verified purchase","reviewed in india on 15 march 2021",5
"18",18,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","subrata biswas","verified purchase","reviewed in the united kingdom on 25 january 2021",5
"19",19,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","subrata biswas","verified purchase","reviewed in spain on 6 july 2023",5
"20",20,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","mr m simms","verified purchase","reviewed in japan on 25 february 2024",5
"21",21,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","gaelle r.","verified purchase","reviewed in france on 30 october 2020",4
"22",22,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","miguel lopez","verified purchase","reviewed in mexico on 4 march 2021",5
"23",23,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","cristian marino","verified purchase","reviewed in italy on 13 may 2023",5
"24",24,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","joshua","verified purchase","reviewed in the united states on 28 june 2018",5
"25",25,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","h. c. garcia","verified purchase","reviewed in canada on 20 june 2021",5
"26",26,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","placeholder","verified purchase","reviewed in india on 16 april 2021",5
"27",27,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","rene noriega","verified purchase","reviewed in mexico on 6 october 2017",5
"28",28,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","とくめー","verified purchase","reviewed in japan on 16 january 2024",4
"29",29,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","brian mclaughlin","verified purchase","reviewed in canada on 17 october 2023",5
"30",30,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","brian mclaughlin","verified purchase","reviewed in the united kingdom on 18 february 2024",4
"31",31,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","ralf t.","verified purchase","reviewed in germany on 15 october 2023",4
"32",32,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","angelo ","verified purchase","reviewed in italy on 28 december 2023",4
"33",33,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","tyson","verified purchase","reviewed in the united states on 15 november 2023",4
"34",34,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","oscar","verified purchase","reviewed in spain on 5 january 2024",4
"35",35,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","natalia","verified purchase","reviewed in spain on 18 january 2024",4
"36",36,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","bruno f.","verified purchase","reviewed in italy on 30 october 2023",5
"37",37,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","chris","verified purchase","reviewed in the united states on 5 february 2024",5
"38",38,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","f95","verified purchase","reviewed in germany on 4 april 2021",5
"39",39,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","f95","verified purchase","reviewed in japan on 7 february 2024",5
"40",40,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","makachan","verified purchase","reviewed in the united kingdom on 18 january 2021",5
"41",41,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","amazon customer","verified purchase","reviewed in canada on 1 february 2024",4
"42",42,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","うるき","verified purchase","reviewed in japan on 29 november 2023",5
"43",43,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","ingrid","verified purchase","reviewed in spain on 25 february 2024",5
"44",44,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","kelly lansdowne","verified purchase","reviewed in the united states on 4 february 2024",5
"45",45,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","amazon customer","verified purchase","reviewed in the united kingdom on 15 february 2021",5
"46",46,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","marc grein","verified purchase","reviewed in germany on 7 may 2021",5
"47",47,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","min chen","verified purchase","reviewed in the united kingdom on 26 february 2024",5
"48",48,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","amazon カスタマー","verified purchase","reviewed in japan on 10 december 2023",1
"49",49,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","nicole","verified purchase","reviewed in germany on 11 october 2023",5
"50",50,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","amanda best","verified purchase","reviewed in canada on 14 january 2024",3
"51",51,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","maanan :)","verified purchase","reviewed in australia on 15 december 2023",4
"52",52,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","pete willson","verified purchase","reviewed in australia on 22 november 2023",5
"53",53,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","maanan :)","verified purchase","reviewed in australia on 15 december 2023",3
"54",54,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","admles","verified purchase","reviewed in australia on 5 october 2023",5
"55",55,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","logan b.","verified purchase","reviewed in australia on 13 january 2024",5
"56",56,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","straw---hat","verified purchase","reviewed in australia on 16 september 2023",5
"57",57,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","straw---hat","verified purchase","reviewed in australia on 1 march 2022",4
"58",58,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","shannon westlake","verified purchase","reviewed in australia on 22 november 2023",4
"59",59,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","pete willson","verified purchase","reviewed in australia on 9 may 2021",5
"60",60,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","don inchiparambil","verified purchase","reviewed in australia on 28 september 2022",3
"61",61,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","maanan :)","verified purchase","reviewed in australia on 15 december 2023",4
"62",62,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","pete willson","verified purchase","reviewed in australia on 22 november 2023",5
"63",63,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","rose","verified purchase","reviewed in australia on 10 november 2023",3
"64",64,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","jack","verified purchase","reviewed in australia on 29 november 2023",4
"65",65,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","illusionyary","verified purchase","reviewed in australia on 27 february 2021",5
"66",66,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","kindle customer","verified purchase","reviewed in australia on 26 november 2023",4
"67",67,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","mark","verified purchase","reviewed in australia on 25 november 2022",5
"68",68,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","andrew","verified purchase","reviewed in australia on 16 february 2023",2
"69",69,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","isaac","verified purchase","reviewed in australia on 20 october 2021",4
"70",70,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","isaiah55","verified purchase","reviewed in australia on 15 april 2023",4
"71",71,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","maanan :)","verified purchase","reviewed in australia on 15 december 2023",4
"72",72,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","pete willson","verified purchase","reviewed in australia on 22 november 2023",5
"73",73,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","r","verified purchase","reviewed in australia on 4 march 2021",3
"74",74,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","corey d'angelis","verified purchase","reviewed in australia on 22 february 2024",4
"75",75,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","liam moore","verified purchase","reviewed in australia on 29 august 2023",1
"76",76,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","joshbo","verified purchase","reviewed in australia on 8 may 2023",5
"77",77,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","martin spear","verified purchase","reviewed in australia on 3 august 2023",5
"78",78,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","kelly dwyer","verified purchase","reviewed in australia on 10 october 2020",5
"79",79,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","jess","verified purchase","reviewed in australia on 10 may 2023",5
"80",80,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","ryan moroney","verified purchase","reviewed in australia on 18 february 2022",3
"81",81,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","maanan :)","verified purchase","reviewed in australia on 15 december 2023",4
"82",82,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","pete willson","verified purchase","reviewed in australia on 22 november 2023",5
"83",83,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","alan  wolken","verified purchase","reviewed in australia on 13 october 2022",3
"84",84,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","saph","verified purchase","reviewed in australia on 20 february 2023",4
"85",85,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","diego","verified purchase","reviewed in australia on 14 december 2022",5
"86",86,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","james mitchell","verified purchase","reviewed in australia on 8 july 2022",3
"87",87,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","alexander","verified purchase","reviewed in australia on 4 september 2022",4
"88",88,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","kelvin antaw","verified purchase","reviewed in australia on 2 july 2022",3
"89",89,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","ann heinceslater","verified purchase","reviewed in australia on 25 march 2023",5
"90",90,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","kindle customer","verified purchase","reviewed in australia on 8 december 2020",5
"91",91,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","maanan :)","verified purchase","reviewed in australia on 15 december 2023",4
"92",92,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","pete willson","verified purchase","reviewed in australia on 22 november 2023",5
"93",93,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","william tremayne","verified purchase","reviewed in australia on 5 november 2021",3
"94",94,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","ucheema50","verified purchase","reviewed in australia on 4 december 2022",5
"95",95,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","chris from oz","verified purchase","reviewed in australia on 30 september 2022",3
"96",96,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","fawad mastoi","verified purchase","reviewed in australia on 20 august 2022",3
"97",97,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","gabriel matining","verified purchase","reviewed in australia on 9 april 2020",3
"98",98,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","viet nguyen","verified purchase","reviewed in australia on 26 october 2020",5
"99",99,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","peterg","verified purchase","reviewed in australia on 4 july 2021",3
"100",100,"headset","hyperx cloud ii – gaming headset for pc, ps5 / ps4. includes 7.1 virtual surround sound and usb audio control box - gun metal","golme","verified purchase","reviewed in australia on 10 april 2022",4
"101",101,"headset","jabra evolve 40 ms stereo headset, black, one size","jo mccartney","verified purchase","reviewed in australia on 21 february 2023",4
"102",102,"headset","jabra evolve 40 ms stereo headset, black, one size","melissa p.","verified purchase","reviewed in australia on 15 december 2022",5
"103",103,"headset","jabra evolve 40 ms stereo headset, black, one size","sirisha","verified purchase","reviewed in australia on 4 february 2024",5
"104",104,"headset","jabra evolve 40 ms stereo headset, black, one size","kelly l","verified purchase","reviewed in australia on 23 november 2020",4
"105",105,"headset","jabra evolve 40 ms stereo headset, black, one size","bettina ","verified purchase","reviewed in australia on 6 june 2020",2
"106",106,"headset","jabra evolve 40 ms stereo headset, black, one size","josey","verified purchase","reviewed in spain on 17 may 2018",5
"107",107,"headset","jabra evolve 40 ms stereo headset, black, one size","addie r","verified purchase","reviewed in sweden on 15 april 2022",5
"108",108,"headset","jabra evolve 40 ms stereo headset, black, one size","germinal30081877","verified purchase","reviewed in france on 21 december 2020",5
"109",109,"headset","jabra evolve 40 ms stereo headset, black, one size","david taylor","verified purchase","reviewed in the united kingdom on 7 january 2022",5
"110",110,"headset","jabra evolve 40 ms stereo headset, black, one size","ika","verified purchase","reviewed in japan on 23 november 2023",5
"111",111,"headset","jabra evolve 40 ms stereo headset, black, one size","reyna hernández romero","verified purchase","reviewed in mexico on 26 january 2024",4
"112",112,"headset","jabra evolve 40 ms stereo headset, black, one size","panos","verified purchase","reviewed in the netherlands on 26 february 2022",5
"113",113,"headset","jabra evolve 40 ms stereo headset, black, one size","amazon customer","verified purchase","reviewed in canada on 2 july 2022",5
"114",114,"headset","jabra evolve 40 ms stereo headset, black, one size","ng terk meng","verified purchase","reviewed in singapore on 27 july 2022",5
"115",115,"headset","jabra evolve 40 ms stereo headset, black, one size","wolfgang schuder","verified purchase","reviewed in germany on 11 february 2024",5
"116",116,"headset","jabra evolve 40 ms stereo headset, black, one size","generale","verified purchase","reviewed in italy on 4 october 2023",5
"117",117,"headset","jabra evolve 40 ms stereo headset, black, one size","tanmoy halder","verified purchase","reviewed in india on 10 october 2020",5
"118",118,"headset","jabra evolve 40 ms stereo headset, black, one size","ds","verified purchase","reviewed in poland on 15 february 2024",5
"119",119,"headset","jabra evolve 40 ms stereo headset, black, one size","julio césar tapia cerón","verified purchase","reviewed in mexico on 10 february 2024",2
"120",120,"headset","jabra evolve 40 ms stereo headset, black, one size","julio césar tapia cerón","verified purchase","reviewed in singapore on 20 february 2022",5
"121",121,"headset","jabra evolve 40 ms stereo headset, black, one size","markus blohm","verified purchase","reviewed in germany on 29 september 2023",4
"122",122,"headset","jabra evolve 40 ms stereo headset, black, one size","stéphanie ","verified purchase","reviewed in france on 13 february 2024",5
"123",123,"headset","jabra evolve 40 ms stereo headset, black, one size","shannon lee ","verified purchase","reviewed in the united states on 31 january 2024",5
"124",124,"headset","jabra evolve 40 ms stereo headset, black, one size","richard b","verified purchase","reviewed in spain on 1 february 2019",5
"125",125,"headset","jabra evolve 40 ms stereo headset, black, one size","alianna","verified purchase","reviewed in canada on 25 july 2021",5
"126",126,"headset","jabra evolve 40 ms stereo headset, black, one size","hoshyar mehrad","verified purchase","reviewed in sweden on 5 april 2023",5
"127",127,"headset","jabra evolve 40 ms stereo headset, black, one size","cliente amazon","verified purchase","reviewed in italy on 27 december 2023",3
"128",128,"headset","jabra evolve 40 ms stereo headset, black, one size","angry james","verified purchase","reviewed in the united kingdom on 23 february 2019",4
"129",129,"headset","jabra evolve 40 ms stereo headset, black, one size","angry james","verified purchase","reviewed in canada on 30 november 2020",5
"130",130,"headset","jabra evolve 40 ms stereo headset, black, one size","joanna lynn","verified purchase","reviewed in germany on 18 november 2017",5
"131",131,"headset","jabra evolve 40 ms stereo headset, black, one size","caspar chiquet","verified purchase","reviewed in singapore on 14 november 2021",4
"132",132,"headset","jabra evolve 40 ms stereo headset, black, one size","rinto","verified purchase","reviewed in india on 13 march 2021",4
"133",133,"headset","jabra evolve 40 ms stereo headset, black, one size","tobias villarà","verified purchase","reviewed in italy on 23 september 2018",4
"134",134,"headset","jabra evolve 40 ms stereo headset, black, one size","mydoghasnonose","verified purchase","reviewed in the united kingdom on 24 may 2016",5
"135",135,"headset","jabra evolve 40 ms stereo headset, black, one size","agnarok","verified purchase","reviewed in mexico on 15 february 2023",4
"136",136,"headset","jabra evolve 40 ms stereo headset, black, one size","nube","verified purchase","reviewed in spain on 25 december 2016",5
"137",137,"headset","jabra evolve 40 ms stereo headset, black, one size","nicolas","verified purchase","reviewed in france on 28 september 2023",4
"138",138,"headset","jabra evolve 40 ms stereo headset, black, one size","sin","verified purchase","reviewed in japan on 8 september 2023",4
"139",139,"headset","jabra evolve 40 ms stereo headset, black, one size","sin","verified purchase","reviewed in the united kingdom on 15 december 2023",5
"140",140,"headset","jabra evolve 40 ms stereo headset, black, one size","tandis","verified purchase","reviewed in spain on 29 march 2017",5
"141",141,"headset","jabra evolve 40 ms stereo headset, black, one size","alexandra","verified purchase","reviewed in france on 19 april 2023",4
"142",142,"headset","jabra evolve 40 ms stereo headset, black, one size","basalto","verified purchase","reviewed in italy on 14 january 2022",5
"143",143,"headset","jabra evolve 40 ms stereo headset, black, one size","claus","verified purchase","reviewed in germany on 18 october 2022",5
"144",144,"headset","jabra evolve 40 ms stereo headset, black, one size","fernando","verified purchase","reviewed in mexico on 30 november 2023",5
"145",145,"headset","jabra evolve 40 ms stereo headset, black, one size","alexander d long","verified purchase","reviewed in canada on 30 november 2021",4
"146",146,"headset","jabra evolve 40 ms stereo headset, black, one size","kuku","verified purchase","reviewed in singapore on 13 july 2020",5
"147",147,"headset","jabra evolve 40 ms stereo headset, black, one size","aidan a shaw","verified purchase","reviewed in the united kingdom on 4 july 2023",5
"148",148,"headset","jabra evolve 40 ms stereo headset, black, one size","vaasu","verified purchase","reviewed in india on 21 october 2020",5
"149",149,"headset","jabra evolve 40 ms stereo headset, black, one size","cliente amazon","verified purchase","reviewed in italy on 29 may 2023",5
"150",150,"headset","jabra evolve 40 ms stereo headset, black, one size","amazon customer","verified purchase","reviewed in japan on 9 december 2023",5
"151",151,"headset","razer barracuda x wireless multi-platform gaming and mobile headset, quartz pink, one size","chris","verified purchase","reviewed in australia on 29 january 2023",4
"152",152,"headset","razer barracuda x wireless multi-platform gaming and mobile headset, quartz pink, one size","mark","verified purchase","reviewed in australia on 5 november 2022",5
"153",153,"headset","razer barracuda x wireless multi-platform gaming and mobile headset, quartz pink, one size","chris","verified purchase","reviewed in australia on 29 january 2023",3
"154",154,"headset","razer barracuda x wireless multi-platform gaming and mobile headset, quartz pink, one size","caedan","verified purchase","reviewed in australia on 12 february 2022",5
"155",155,"headset","razer barracuda x wireless multi-platform gaming and mobile headset, quartz pink, one size","mr nathan t leibel","verified purchase","reviewed in australia on 21 october 2023",5
"156",156,"headset","razer barracuda x wireless multi-platform gaming and mobile headset, quartz pink, one size","jade","verified purchase","reviewed in australia on 28 november 2022",4
"157",157,"headset","razer barracuda x wireless multi-platform gaming and mobile headset, quartz pink, one size","aus customer","verified purchase","reviewed in australia on 24 may 2023",5
"158",158,"headset","razer barracuda x wireless multi-platform gaming and mobile headset, quartz pink, one size","mark","verified purchase","reviewed in australia on 5 november 2022",5
"159",159,"headset","razer barracuda x wireless multi-platform gaming and mobile headset, quartz pink, one size","tracy lomano","verified purchase","reviewed in australia on 8 january 2022",3
